DateKey,FullDate,Day,Month,Year,DayName,MonthName,Quarter,Half,YearMonth,IsWeekend
81,2023-03-22,22,3,2023,Wednesday,Mar,Q1,H1,03/2023,0
82,2023-03-23,23,3,2023,Thursday,Mar,Q1,H1,03/2023,0
83,2023-03-24,24,3,2023,Friday,Mar,Q1,H1,03/2023,0
84,2023-03-25,25,3,2023,Saturday,Mar,Q1,H1,03/2023,1
85,2023-03-26,26,3,2023,Sunday,Mar,Q1,H1,03/2023,1
86,2023-03-27,27,3,2023,Monday,Mar,Q1,H1,03/2023,0
87,2023-03-28,28,3,2023,Tuesday,Mar,Q1,H1,03/2023,0
88,2023-03-29,29,3,2023,Wednesday,Mar,Q1,H1,03/2023,0
89,2023-03-30,30,3,2023,Thursday,Mar,Q1,H1,03/2023,0
90,2023-03-31,31,3,2023,Friday,Mar,Q1,H1,03/2023,0
91,2023-04-01,1,4,2023,Saturday,Apr,Q2,H1,04/2023,1
92,2023-04-02,2,4,2023,Sunday,Apr,Q2,H1,04/2023,1
93,2023-04-03,3,4,2023,Monday,Apr,Q2,H1,04/2023,0
94,2023-04-04,4,4,2023,Tuesday,Apr,Q2,H1,04/2023,0
95,2023-04-05,5,4,2023,Wednesday,Apr,Q2,H1,04/2023,0
96,2023-04-06,6,4,2023,Thursday,Apr,Q2,H1,04/2023,0
97,2023-04-07,7,4,2023,Friday,Apr,Q2,H1,04/2023,0
98,2023-04-08,8,4,2023,Saturday,Apr,Q2,H1,04/2023,1
99,2023-04-09,9,4,2023,Sunday,Apr,Q2,H1,04/2023,1
100,2023-04-10,10,4,2023,Monday,Apr,Q2,H1,04/2023,0
101,2023-04-11,11,4,2023,Tuesday,Apr,Q2,H1,04/2023,0
102,2023-04-12,12,4,2023,Wednesday,Apr,Q2,H1,04/2023,0
103,2023-04-13,13,4,2023,Thursday,Apr,Q2,H1,04/2023,0
104,2023-04-14,14,4,2023,Friday,Apr,Q2,H1,04/2023,0
105,2023-04-15,15,4,2023,Saturday,Apr,Q2,H1,04/2023,1
106,2023-04-16,16,4,2023,Sunday,Apr,Q2,H1,04/2023,1
107,2023-04-17,17,4,2023,Monday,Apr,Q2,H1,04/2023,0
108,2023-04-18,18,4,2023,Tuesday,Apr,Q2,H1,04/2023,0
109,2023-04-19,19,4,2023,Wednesday,Apr,Q2,H1,04/2023,0
110,2023-04-20,20,4,2023,Thursday,Apr,Q2,H1,04/2023,0
111,2023-04-21,21,4,2023,Friday,Apr,Q2,H1,04/2023,0
112,2023-04-22,22,4,2023,Saturday,Apr,Q2,H1,04/2023,1
113,2023-04-23,23,4,2023,Sunday,Apr,Q2,H1,04/2023,1
114,2023-04-24,24,4,2023,Monday,Apr,Q2,H1,04/2023,0
115,2023-04-25,25,4,2023,Tuesday,Apr,Q2,H1,04/2023,0
116,2023-04-26,26,4,2023,Wednesday,Apr,Q2,H1,04/2023,0
117,2023-04-27,27,4,2023,Thursday,Apr,Q2,H1,04/2023,0
118,2023-04-28,28,4,2023,Friday,Apr,Q2,H1,04/2023,0
119,2023-04-29,29,4,2023,Saturday,Apr,Q2,H1,04/2023,1
120,2023-04-30,30,4,2023,Sunday,Apr,Q2,H1,04/2023,1
121,2023-05-01,1,5,2023,Monday,May,Q2,H1,05/2023,0
122,2023-05-02,2,5,2023,Tuesday,May,Q2,H1,05/2023,0
123,2023-05-03,3,5,2023,Wednesday,May,Q2,H1,05/2023,0
124,2023-05-04,4,5,2023,Thursday,May,Q2,H1,05/2023,0
125,2023-05-05,5,5,2023,Friday,May,Q2,H1,05/2023,0
126,2023-05-06,6,5,2023,Saturday,May,Q2,H1,05/2023,1
127,2023-05-07,7,5,2023,Sunday,May,Q2,H1,05/2023,1
128,2023-05-08,8,5,2023,Monday,May,Q2,H1,05/2023,0
129,2023-05-09,9,5,2023,Tuesday,May,Q2,H1,05/2023,0
130,2023-05-10,10,5,2023,Wednesday,May,Q2,H1,05/2023,0
131,2023-05-11,11,5,2023,Thursday,May,Q2,H1,05/2023,0
